breed_slug,file,source,source_url,author,license,license_url,width,height,downloaded_at
goldendoodle,gldn_5.jpg,Pexels,https://www.pexels.com/photo/photo-of-a-goldendoodle-sitting-on-the-grass-24354848/,Sophia Martin,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
great-dane,gd_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
great-dane,gd_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
great-dane,gd_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
great-dane,gd_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
great-dane,gd_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
havanese,havanese_1.jpg,Pexels,https://www.pexels.com/photo/close-up-of-black-dog-17704145/,Alexa's Fotos,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
havanese,havanese_2.jpg,Pexels,https://www.pexels.com/photo/adorable-fluffy-dog-relaxing-on-sandy-beach-31365340/,JacLou DL,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
havanese,havanese_3.jpg,Pexels,https://www.pexels.com/photo/close-up-of-a-havanese-dog-with-tongue-out-35117929/,Jesus Esteban,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
havanese,havanese_4.jpg,Pexels,https://www.pexels.com/photo/adorable-havanese-puppy-running-on-grass-29633098/,Detlef Bukowski,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
havanese,havanese_5.jpg,Pexels,https://www.pexels.com/photo/two-adorable-havanese-dog-puppies-17099645/,Denniz Futalan,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labradoodle,ld_1.jpg,Pexels,https://www.pexels.com/photo/a-dog-on-a-leash-14935889/,Alican Helik,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labradoodle,ld_2.jpg,Pexels,https://www.pexels.com/photo/joyful-golden-labradoodle-in-sunlit-park-30279211/,Karl Byron,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labradoodle,ld_3.jpg,Pexels,https://www.pexels.com/photo/two-labradoodles-on-leashes-27035105/,Chris F,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labradoodle,ld_4.jpg,Pexels,https://www.pexels.com/photo/photo-of-a-brown-labradoodle-dog-11941915/,Julissa Pires,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labradoodle,ld_5.jpg,Pexels,https://www.pexels.com/photo/cute-labradoodle-sitting-on-sunny-lawn-37490809/,Catherine Dempsey,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
labrador-retriever,lr_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
labrador-retriever,lr_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
labrador-retriever,lr_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
labrador-retriever,lr_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
labrador-retriever,lr_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maine-coon,mc_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maine-coon,mc_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maine-coon,mc_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maine-coon,mc_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maine-coon,mc_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
maltese,maltese_1.jpg,Pexels,https://www.pexels.com/photo/maltese-dog-on-leash-23542118/,Mladen Scekic,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
maltese,maltese_2.jpg,Pexels,https://www.pexels.com/photo/white-maltese-dog-26201109/,Izafi,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
maltese,maltese_3.jpg,Pexels,https://www.pexels.com/photo/adorable-maltese-dog-on-textured-pavement-35447898/,Jevtajevtic7,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
maltese,maltese_4.jpg,Pexels,https://www.pexels.com/photo/adorable-maltese-dog-relaxing-on-lawn-28959770/,Raul Captura,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
maltese,maltese_5.jpg,Pexels,https://www.pexels.com/photo/close-up-of-white-maltese-dog-being-held-31848853/,Alina Zahorulko,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
mastiff,mastiff_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
mastiff,mastiff_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
mastiff,mastiff_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
mastiff,mastiff_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
mastiff,mastiff_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
miniature-schnauzer,ms_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
miniature-schnauzer,ms_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
miniature-schnauzer,ms_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
miniature-schnauzer,ms_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
miniature-schnauzer,ms_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
munchkin,munchkin_1.jpg,Pexels,https://www.pexels.com/photo/shallow-focus-photography-of-cat-2286016/,Tran Mau Tri Tam,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
munchkin,munchkin_2.jpg,Pexels,https://www.pexels.com/photo/cute-munchkin-cat-on-the-sofa-4971355/,Tran Mau Tri Tam,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
munchkin,munchkin_3.jpg,Pexels,https://www.pexels.com/photo/a-white-munchkin-cat-on-a-rug-in-a-living-room-15989368/,Tahir Osman,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
munchkin,munchkin_4.jpg,Pexels,https://www.pexels.com/photo/gray-tabby-kitten-on-a-white-surface-2194416/,Tran Mau Tri Tam,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
munchkin,munchkin_5.jpg,Pexels,https://www.pexels.com/photo/a-cute-cat-on-the-table-5044088/,Tran Mau Tri Tam,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
newfoundland,newfoundland_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
newfoundland,newfoundland_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
newfoundland,newfoundland_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
newfoundland,newfoundland_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
newfoundland,newfoundland_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
norwegian-forest-cat,nfc_1.jpg,Pexels,https://www.pexels.com/photo/majestic-norwegian-forest-cat-in-vibrant-spring-garden-31739872/,Danniel Corbit,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
norwegian-forest-cat,nfc_2.jpg,Pexels,https://www.pexels.com/photo/majestic-fluffy-cat-with-white-and-brown-fur-32063367/,Travis Ireland,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
norwegian-forest-cat,nfc_3.jpg,Pexels,https://www.pexels.com/photo/majestic-norwegian-forest-cat-in-lush-meadow-31739898/,Danniel Corbit,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
norwegian-forest-cat,nfc_4.jpg,Pexels,https://www.pexels.com/photo/cat-in-a-forest-18266238/,Danniel Corbit,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
norwegian-forest-cat,nfc_5.jpg,Pexels,https://www.pexels.com/photo/fluffy-white-and-brown-cat-relaxing-outdoors-32063369/,Travis Ireland,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
persian,persian_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
persian,persian_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
persian,persian_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
persian,persian_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
